NAME,DATE,Assets,Liabilities,Equity,Paidup Capital,Revenue,Net Profit,EPS (Baht),ROA(%),ROE(%),Net Profit Margin(%),Last Price(Baht),Market Cap.,P/E,P/BV,Book Value per share (Baht),Dvd. Yield(%),Industry,Sector
BBL,30/09/2018,3116750.22,2703591.33,412814.25,19088.43,154265.80,35329.97,18.51,1.43,8.67,22.90,203.00,387495.11,10.85,0.96,211.95,3.20,Financials,Banking
BBL,30/09/2019,3216743.10,2788626.79,427751.21,19088.43,158310.64,35816.09,18.76,1.47,8.52,22.62,160.00,305414.86,8.50,0.71,225.36,4.06,Financials,Banking
BBL,30/09/2020,3810590.60,3369925.54,439508.54,19088.43,112716.54,14782.99,7.74,0.84,5.24,13.12,118.50,226197.88,9.93,0.51,230.25,5.91,Financials,Banking
BCH,30/09/2017,12674.10,6762.34,5194.65,2493.75,7362.04,917.06,0.37,13.13,18.42,12.46,16.20,40398.72,48.25,8.18,1.98,1.05,Services,Health Care Services
BCH,30/09/2018,12627.50,6229.71,5701.43,2493.75,8185.27,1089.47,0.44,13.11,20.00,13.31,16.70,41645.59,37.90,7.66,2.18,1.20,Services,Health Care Services
BCH,30/09/2019,14115.63,7137.35,6248.00,2493.75,8998.64,1134.91,0.46,12.82,19.00,12.61,17.10,42643.09,36.68,7.09,2.41,1.35,Services,Health Care Services
BCH,30/09/2020,16364.04,9023.87,6621.50,2493.75,6680.65,951.09,0.38,11.95,18.86,14.24,13.60,33914.97,28.45,5.12,2.66,1.69,Services,Health Care Services
BCP,30/09/2017,114110.48,61978.50,45649.65,1376.92,175449.33,5778.24,4.20,7.32,13.57,3.29,40.75,56109.62,10.16,1.32,30.93,4.42,Resources,Energy & Utilities
BCP,30/09/2018,117368.62,67831.06,42714.97,1376.92,194171.35,2462.88,1.79,4.56,5.57,1.27,31.75,43717.31,8.10,0.97,32.76,6.77,Resources,Energy & Utilities
BCP,30/09/2019,127787.98,68972.94,51603.93,1376.92,192162.30,1731.57,1.18,3.47,3.67,0.90,28.00,38553.85,,0.91,30.33,4.87,Resources,Energy & Utilities
BCP,30/09/2020,141179.00,86984.58,46836.12,1376.92,104321.32,7218.50,5.59,3.87,14.90,6.92,20.60,28364.62,,0.60,34.50,3.92,Resources,Energy & Utilities
BCPG,30/09/2017,32099.23,17730.29,14368.79,9961.52,4389.36,2016.15,1.01,8.54,14.46,45.93,23.80,47416.84,26.99,3.37,7.07,2.90,Resources,Energy & Utilities
BCPG,30/09/2018,31557.88,16415.63,15142.10,9984.14,4433.51,2219.23,1.11,8.94,15.04,50.06,15.20,30351.78,12.16,2.00,7.58,4.00,Resources,Energy & Utilities
BCPG,30/09/2019,37136.57,21581.42,15505.72,9994.46,3896.76,1801.42,0.90,6.87,11.76,46.23,16.20,32382.05,19.43,2.09,7.73,3.95,Resources,Energy & Utilities
BCPG,30/09/2020,45672.39,30137.01,15485.81,9994.88,3692.32,1601.55,0.80,6.82,13.23,43.38,14.20,37493.36,18.32,2.42,7.64,3.41,Resources,Energy & Utilities
BDMS,30/09/2017,122626.69,56755.58,63071.20,1549.10,77136.78,10215.74,0.66,12.78,17.20,13.24,20.90,323760.99,31.87,5.50,3.80,1.39,Services,Health Care Services
BDMS,30/09/2018,133498.75,60060.68,70320.11,1566.90,81096.62,9191.46,0.59,10.58,13.78,11.33,24.80,388590.11,39.35,5.63,4.41,1.44,Services,Health Care Services
BDMS,30/09/2019,133661.74,46480.11,83813.43,1589.20,92534.66,15517.17,0.99,15.58,20.13,16.77,26.00,413192.05,28.41,5.10,5.10,1.21,Services,Health Care Services
BDMS,30/09/2020,132896.42,46543.26,82987.52,1589.20,51249.62,4826.56,0.30,7.73,8.71,9.42,20.80,330553.64,46.24,3.98,5.22,2.64,Services,Health Care Services
BEC,30/09/2017,14330.91,7785.38,6392.11,2000.00,11226.06,61.01,0.03,1.71,0.92,0.54,13.10,26200.00,80.30,3.89,3.37,4.58,Services,Media & Publishing
BEC,30/09/2018,14320.07,8083.70,6084.15,2000.00,10504.09,330.18,0.17,1.50,5.29,3.14,4.82,9640.00,,1.53,3.15,2.07,Services,Media & Publishing
BEC,30/09/2019,11354.48,5636.04,5623.33,2000.00,8779.64,397.17,0.20,2.99,6.78,4.52,5.90,11800.00,,2.00,2.95,,Services,Media & Publishing
BEC,30/09/2020,10277.46,5162.10,5105.82,2000.00,4176.65,481.78,0.24,6.68,13.47,11.54,8.05,16100.00,,3.15,2.55,,Services,Media & Publishing
BEM,30/09/2017,98919.36,67740.07,31068.18,15285.00,15799.15,3123.13,0.20,6.00,10.28,19.77,7.70,117694.50,39.81,3.89,1.98,1.43,Services,Transportation & Logistics
BEM,30/09/2018,103830.91,68218.88,35498.77,15285.00,19520.12,5317.04,0.35,8.27,15.98,27.24,9.70,148264.50,26.51,4.18,2.32,1.34,Services,Transportation & Logistics
BEM,30/09/2019,111696.77,72873.59,38780.72,15285.00,20576.51,5434.82,0.36,8.29,14.63,26.41,10.90,166606.50,30.87,4.24,2.57,1.38,Services,Transportation & Logistics
BEM,30/09/2020,115697.68,76604.46,39049.39,15285.00,10588.27,1481.50,0.10,3.88,5.11,13.99,8.30,126865.50,63.34,3.25,2.55,1.81,Services,Transportation & Logistics
BGRIM,30/09/2017,89240.84,63497.06,18653.25,5213.80,31924.95,2126.71,0.96,7.12,17.32,6.66,28.75,74948.38,47.90,4.11,7.00,,Resources,Energy & Utilities
BGRIM,30/09/2018,100636.04,72896.92,19253.46,5213.80,37226.86,1862.81,0.71,6.40,9.83,5.00,26.50,69082.85,31.53,3.62,7.33,1.13,Resources,Energy & Utilities
BGRIM,30/09/2019,121692.80,83015.54,28144.40,5213.80,44660.29,2331.15,0.88,6.16,9.84,5.22,52.50,136862.25,66.70,6.86,7.66,0.61,Resources,Energy & Utilities
BGRIM,30/09/2020,126978.16,89234.36,27180.92,5213.80,33904.59,1598.60,0.50,6.03,8.52,4.71,48.50,126434.65,62.96,4.65,10.43,0.76,Resources,Energy & Utilities
BH,30/09/2017,23483.96,6779.00,16402.38,730.05,18530.13,3943.89,5.41,22.01,25.55,21.28,189.00,137722.19,35.88,8.86,21.34,1.32,Services,Health Care Services
BH,30/09/2018,24748.81,6004.38,18454.61,730.05,18541.03,4151.89,5.70,21.57,23.82,22.39,187.50,136640.88,33.36,7.84,23.91,1.44,Services,Health Care Services
BH,30/09/2019,26181.03,5915.90,19973.37,730.05,18718.27,3747.73,5.14,18.30,19.51,20.02,147.00,107139.68,27.99,5.62,26.18,1.97,Services,Health Care Services
BH,30/09/2020,24167.80,5432.94,18425.75,795.77,9611.15,1031.15,1.33,9.59,10.21,10.73,120.00,95350.28,49.81,5.18,23.15,2.59,Services,Health Care Services
BJC,30/09/2017,315058.58,203885.54,106513.72,3995.67,164221.87,5210.76,1.31,4.14,4.96,3.17,66.00,263714.26,57.63,2.52,26.18,0.76,Services,Commerce
BJC,30/09/2018,323021.04,207936.78,110512.33,4002.70,172196.38,6649.97,1.66,4.28,6.13,3.86,50.75,203136.76,31.80,1.87,27.21,1.12,Services,Commerce
BJC,30/09/2019,325804.44,206068.32,115046.06,4006.84,174037.04,7278.38,1.82,4.18,6.45,4.18,42.00,168287.28,24.28,1.50,27.99,1.74,Services,Commerce
BJC,30/09/2020,328753.90,210464.70,113376.64,4007.79,119114.64,2647.78,0.66,3.53,4.54,2.22,34.75,139270.94,27.20,1.23,28.29,2.62,Services,Commerce
BPP,30/09/2017,47697.65,7912.83,39006.28,30483.55,10842.88,4154.63,1.36,10.39,10.91,38.32,25.50,77733.05,16.14,2.02,12.64,0.98,Resources,Energy & Utilities
BPP,30/09/2018,51566.13,10384.99,40409.65,30510.22,11554.73,3812.67,1.25,8.81,9.60,33.00,22.30,68037.78,18.24,1.71,13.04,2.69,Resources,Energy & Utilities
